Sampling Date,Site ID,Park ID,Project ID,Lat (°N),Long (°W),Water Temp (°C),COND,PH,DO (mg/L),"UV Absorbance, 254nm",DOC,"SUVA, 254nm",Total Iron [mg/L],"Fe Corr'd SUVA, 254nm",HPOA SUVA (254nm),HPOA %,HPON %,HPI SUVA (254nm),HPI %,TPIA SUVA (254nm),TPIA %,AMMONIA_N,NITRATE_NITRITE_N,"NO2-N 
(mg N/L)",PTL,"TDN 
(mg N/L)",UTN (mgN/L),"TDP 
(mg P/L)",UTP (mgP/L),CHLORIDE,SULFATE,"F 
(mg/L)","Br 
(mg/L)",SODIUM,POTASSIUM,CALCIUM,MAGNESIUM,TOC (mgC/L),ANC,DIC (mg/L),d18O,dD,Al (µg/L),P (µg/L),Ti (µg/L),Cr (µg/L),Mn (µg/L),Fe* (µg/L),Co (µg/L),Ni (µg/L),Cu (µg/L),Zn (µg/L),As (µg/L),Sr (µg/L),Cd (µg/L),Sn (µg/L),Sb (µg/L),Te (µg/L),Ba (µg/L),Pb (µg/L),FeTot?,Fe(II)/FeTot,Fe(II) (µg/L),Fe(III) (µg/L),
9/6/2018,AMST 4 (Asik Creek),NOAT,HEAT,67.47379,-162.23207,5.9,175.8,8.2,12.2,0.022,1.5,1.5,0.08,-,-,-,-,-,-,-,-,*0.003,0.13,-,0.003,0.2,0.16,*0.001,*0.001,1.13,9.72,-,-,1.32,0.21,41.43,11.7,0.61,108.67,37.49,-17.2,-125,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6/8/2019,AMST 4 (Asik Creek),NOAT,HEAT,67.47379,-162.23207,8.6,337,8.3,11.4,0.036,1.7,2.1,*0.01,,,,,,,,,*0.006,0.123,-,0.002,0.24,0.29,*0.002,0.005,1.01,6.65,-,-,1.29,0.2,36.86,8.24,0.92,85.36,-,-16.8,-125,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
 8/19/2019,AMST 4 (Asik Creek),NOAT,HEAT,67.47379,-162.23207,7.8,219,7.96,11.7,0.046,2.1,2.2,-,,,,,,,,,*0.004,0.113,-,0.002,0.17,0.21,*0.001,*0.001,0.83,6.1,0.069,-,1.09,0.13,32.01,6.87,1.22,69.07,25.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8/10/2015,ANFM 1,NOAT,HEAT,67.60809,-161.74701,12,381.3,8.31,9.9,0.009,0.8,1.2,-,-,-,-,-,-,-,-,-,*0.001,0.079,-,*0.000,0.14,0.1,*0.000,*0.000,1.43,24.41,-,-,4.03,0.31,44.57,19.46,-,-,-,-17,-126,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9/16/2015,ANFM 1,NOAT,HEAT,67.60809,-161.74701,3.4,468.7,8.14,11.7,0.026,1.2,2.1,-,-,-,-,-,-,-,-,-,*0.003,0.095,-,<0.004,0.16,0.12,<0.003,*0.000,2.2,34.7,-,-,4.81,0.36,60.68,26.38,-,-,-,-16.8,-126,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6/12/2015,ANFM 2,NOAT,HEAT,67.49029,-162.10912,7.2,308.7,8.35,-,0.081,2.9,2.8,-,-,-,-,-,-,-,-,-,-,0.064,-,<0.004,0.13,0.17,<0.003,*0.000,1.65,16.87,-,-,3.57,0.37,39.19,15.73,-,-,-,-16.4,-122,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8/10/2015,ANFM 2,NOAT,HEAT,67.49029,-162.10912,12.2,453.1,8.41,9.8,0.018,1.3,1.3,-,-,-,-,-,-,-,-,-,*0.000,0.076,-,*0.000,0.16,0.11,*0.000,*0.000,3.18,30.58,-,-,7.29,0.6,63.39,23.87,-,-,-,-16.6,-123,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9/18/2015,ANFM 2,NOAT,HEAT,67.49029,-162.10912,0.1,438.1,8.17,10.5,0.031,1.6,2,-,-,-,-,-,-,-,-,-,*0.003,0.099,-,<0.004,0.19,0.14,<0.003,*0.000,2.61,32.91,-,-,5.35,0.52,66.35,26.41,-,-,-,-16.4,-123,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8/10/2016,ANFM 2,NOAT,HEAT,67.49029,-162.10912,13.1,529.2,7.73,10.5,0.018,1.2,1.5,*0.01,-,-,-,-,-,-,-,-,*0.007,0.07,-,0.002,0.14,0.12,*0.001,*0.001,3.19,33.79,-,-,7.16,0.62,67.49,25.3,-,103.02,-,-17.2,-128,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6/11/2015,ANFT 1,NOAT,HEAT,67.60605,-161.7494,2.8,250.7,8.28,-,0.157,4.5,3.5,-,-,-,-,-,-,-,-,-,-,0.033,-,<0.004,0.14,0.2,<0.003,0.003,1.02,12.62,-,-,2.69,0.26,29.29,15.47,-,-,-,-16.3,-121,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8/9/2015,ANFT 1,NOAT,HEAT,67.60605,-161.7494,8.7,392,8.3,8.7,0.036,1.9,1.9,-,-,-,-,-,-,-,-,-,*0.000,0.054,-,*0.000,0.18,0.15,*0.001,*0.001,3.66,31.38,-,-,10.38,0.53,56.22,33.13,-,-,-,-16.1,-121,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9/16/2015,ANFT 1,NOAT,HEAT,67.60605,-161.7494,3.2,528.6,7.76,13.2,0.07,3,2.3,-,-,-,-,-,-,-,-,-,*0.002,0.053,-,<0.004,0.17,0.12,<0.003,*0.000,3.04,35.01,-,-,6.97,0.52,52.3,38.88,-,-,-,-16.2,-122,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6/11/2015,ANFT 2,NOAT,HEAT,67.56898,-161.88634,4.1,274.9,8.31,-,0.185,5.4,3.4,-,-,-,-,-,-,-,-,-,-,0.037,-,<0.004,0.18,0.24,<0.003,0.004,0.66,13.48,-,-,5.14,0.42,32.6,16.41,-,-,-,-15.9,-117,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8/11/2015,ANFT 2,NOAT,HEAT,67.56898,-161.88634,8.5,511.7,8.47,10.6,0.046,2.2,2.1,-,-,-,-,-,-,-,-,-,*0.000,<0.01,-,*0.000,0.13,0.1,*0.002,*0.001,1.12,26.08,-,-,10.9,0.67,59.54,30.91,-,-,-,-16,-119,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9/16/2015,ANFT 2,NOAT,HEAT,67.56898,-161.88634,3.1,458,8.23,13.2,0.068,2.8,2.5,-,-,-,-,-,-,-,-,-,*0.002,0.07,-,<0.004,0.19,0.15,<0.003,*0.000,1.18,22.43,-,-,6.98,0.61,45.44,28.77,-,-,-,-16.1,-120,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6/9/2016,ANFT 2,NOAT,HEAT,67.56898,-161.88634,5.3,437.2,7.72,12.6,0.064,2.3,2.7,*0.00,-,-,-,-,-,-,-,-,*0.001,0.054,-,0.004,0.19,0.15,*0.001,0.003,0.81,19.77,-,-,6.71,0.64,45.53,25.29,1.71,,43.92,-17,-126,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8/11/2016,ANFT 2,NOAT,HEAT,67.56898,-161.88634,13.3,658,7.76,10.3,0.041,1.9,2.2,*0.00,-,-,-,-,-,-,-,-,*0.005,0.003,-,0.002,0.08,0.13,*0.001,0.011,1.12,27.88,-,-,10.79,0.79,72.87,34.14,-,163.84,58.42,-16.8,-124,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9/8/2016,ANFT 2,NOAT,HEAT,67.56898,-161.88634,6.7,575.7,8.05,12.6,0.054,2.3,2.4,*0.05,-,-,-,-,-,-,-,-,*0.002,0.079,-,*0.000,0.19,0.19,*0.000,*0.001,1,26.37,-,-,7.92,0.67,68.43,33.38,1.7,160.09,56.9,-17.2,-122,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6/7/2017,ANFT 2,NOAT,HEAT,67.56898,-161.88634,5.8,431,8.07,12.2,0.115,3.6,3.2,0.08,-,-,-,-,-,-,-,-,*0.009,0.053,-,0.002,0.21,0.21,0.007,0.006,0.91,12.63,-,-,4.41,0.52,31.69,16.33,2.87,108.64,29.05,-16.8,-122,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8/17/2017,ANFT 2,NOAT,HEAT,67.56898,-161.88634,6,508,8,12.4,0.077,2.9,2.6,*0.01,-,-,-,-,-,-,-,-,*0.008,0.068,-,*0.001,0.19,0.14,0.003,*0.002,0.79,22.64,-,-,5.51,0.47,61.01,28.62,2.12,166.71,48.52,-16.3,-118,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6/11/2015,ANFT 3,NOAT,HEAT,67.54481,-161.96268,6.4,388.2,8.35,-,0.164,5.4,3,-,-,-,-,-,-,-,-,-,-,0.021,-,<0.004,0.17,0.23,<0.003,0.025,0.68,31.27,-,-,2.5,0.49,64.78,14.51,-,-,-,-15.9,-118,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8/11/2015,ANFT 3,NOAT,HEAT,67.54481,-161.96268,6.5,707.7,8.3,11.1,0.04,1.9,2.1,-,-,-,-,-,-,-,-,-,*0.000,<0.01,-,0.002,0.12,0.12,*0.000,*0.001,1.14,72.33,-,-,5.27,0.7,118.92,31.26,-,-,-,-16,-120,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9/16/2015,ANFT 3,NOAT,HEAT,67.54481,-161.96268,3.1,688,8.31,11.4,0.059,2.5,2.4,-,-,-,-,-,-,-,-,-,*0.003,0.012,-,<0.004,0.1,0.06,<0.003,*0.000,1.04,63.27,-,-,3.25,0.61,111.52,27.59,-,-,-,-16,-120,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6/12/2016,ANFT 3,NOAT,HEAT,67.54481,-161.96268,7.9,677.6,7.73,11.1,0.054,2.2,2.5,*0.00,-,-,-,-,-,-,-,-,*0.001,*0.001,-,0.002,0.12,0.1,*0.001,0.005,1.07,66.66,-,-,3.79,0.78,112.35,26.49,1.4,,50.98,-16.9,-125,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8/11/2016,ANFT 3,NOAT,HEAT,67.54481,-161.96268,12.6,856,7.82,10.6,0.04,1.8,2.2,*0.01,-,-,-,-,-,-,-,-,*0.003,*0.001,-,*0.001,0.08,0.07,*0.001,*0.002,1.02,88.88,-,-,5.1,0.81,132.51,33.71,-,139.98,-,-16.8,-124,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9/8/2016,ANFT 3,NOAT,HEAT,67.54481,-161.96268,6.3,809,8.11,12.7,-,-,-,*0.00,-,-,-,-,-,-,-,-,*0.002,0.006,-,*0.000,0.11,0.1,*0.000,*0.000,0.96,71.97,-,-,3.02,0.63,124.57,30.59,1.72,151.53,52.86,-16.4,-120,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6/7/2017,ANFT 3,NOAT,HEAT,67.54481,-161.96268,6.4,615.9,8.04,12.3,0.099,3.4,2.9,*0.03,-,-,-,-,-,-,-,-,0.03,0.011,-,*0.001,0.15,0.21,0.007,0.011,0.85,28.89,-,-,1.97,0.52,65.25,14.46,2.75,120.66,32.43,-16.8,-122,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8/18/2017,ANFT 3,NOAT,HEAT,67.54481,-161.96268,4.8,737.2,8,12.9,0.069,3.1,2.2,0.11,-,-,-,-,-,-,-,-,0.02,0.007,-,*0.001,0.14,0.11,*0.002,0.005,0.91,67.11,-,-,2.44,0.51,119.23,28.46,1.93,159.95,49.71,-16.4,-119,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6/12/2018,ANFT 3,NOAT,HEAT,67.54481,-161.96268,10.8,824.4,8.2,10.8,0.058,2.4,2.4,*0.05,-,-,-,-,-,-,-,-,0.014,0.002,-,0.003,0.09,0.09,*0.001,*0.001,1.21,61.56,-,-,2.47,0.68,112.63,26.23,1.32,138.63,48.76,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9/4/2018,ANFT 3,NOAT,HEAT,67.54481,-161.96268,7.5,1098.6,8.1,11.5,0.061,3.2,1.9,0.1,-,-,-,-,-,-,-,-,*0.004,0.006,-,0.004,0.13,0.09,*0.001,*0.002,1.22,78.25,-,-,3.38,0.7,122.04,34.4,2.03,163.52,56.24,-17.1,-122,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6/7/2019,ANFT 3,NOAT,HEAT,67.54481,-161.96268,-,-,-,-,-,-,-,*0.02,,,,,,,,,0.013,0.008,-,0.002,0.21,0.13,0.004,*0.002,1.19,50.43,-,-,2.26,0.69,97.53,23.82,2.23,143.1,-,-16.6,-124,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
 8/19/2019,ANFT 3,NOAT,HEAT,67.54481,-161.96268,5.3,688,8.13,12.3,0.093,3.8,2.4,-,,,,,,,,,*0.007,0.027,-,*0.000,0.14,0.15,*0.002,*0.002,1.24,73.14,0.036,-,2.05,0.52,116.66,30.6,2.4,101.86,49.97,-16.7,-119,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6/11/2015,ANFT 4,NOAT,HEAT,67.52215,-162.06027,7.8,281.7,8.37,-,0.086,3,2.8,-,-,-,-,-,-,-,-,-,-,0.043,-,<0.004,0.1,0.15,<0.003,*0.002,1.29,15.24,-,-,3.29,0.73,42.03,13.31,-,-,-,-16,-119,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8/10/2015,ANFT 4,NOAT,HEAT,67.52215,-162.06027,10.3,439.7,8.37,10.7,0.019,1.3,1.5,-,-,-,-,-,-,-,-,-,*0.000,0.021,-,0.002,0.12,0.1,*0.002,*0.000,2.06,28.16,-,-,5.51,1.03,64.75,21.16,-,-,-,-16.3,-121,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9/18/2015,ANFT 4,NOAT,HEAT,67.52215,-162.06027,0.1,450.7,8.34,13.3,0.027,1.5,1.8,-,-,-,-,-,-,-,-,-,*0.003,0.059,-,<0.004,0.11,0.1,<0.003,*0.000,1.62,27.21,-,-,3.57,0.67,65.49,22.32,-,-,-,-16.2,-121,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6/8/2016,ANFT 4,NOAT,HEAT,67.52215,-162.06027,10.1,420.5,7.78,11.3,0.034,1.6,2.1,*0.00,-,-,-,-,-,-,-,-,*0.001,0.013,-,0.002,0.1,0.09,*0.001,0.004,1.45,20.86,-,-,3.57,0.85,56.39,17.72,1.1,,37.83,-16.9,-126,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8/9/2016,ANFT 4,NOAT,HEAT,67.52215,-162.06027,15.1,460.5,7.94,11.9,0.021,1.4,1.5,*0.01,-,-,-,-,-,-,-,-,*0.002,0.006,-,*0.001,0.07,0.11,*0.001,0.008,2.02,29.3,-,-,5.27,1.08,69.18,23.2,-,110.39,42.8,-16.8,-125,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8/12/2016,ANFT 4,NOAT,HEAT,67.52215,-162.06027,12.2,470,8.23,10.7,0.018,1.2,1.5,*0.00,-,-,-,-,-,-,-,-,*0.002,0.006,-,*0.001,0.06,0.07,*0.000,*0.002,2.04,29.77,-,-,5.29,1.02,74.1,23.25,-,122.06,44.27,-16.9,-125,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6/6/2017,ANFT 4,NOAT,HEAT,67.52215,-162.06027,7.1,360.6,7.99,11.9,0.077,2.5,3,*0.01,-,-,-,-,-,-,-,-,0.011,0.033,-,*0.001,0.12,0.16,0.004,0.006,1.22,11.9,-,-,1.91,0.55,36.93,10.17,1.94,86.97,23.09,-16.9,-124,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8/18/2017,ANFT 4,NOAT,HEAT,67.52215,-162.06027,6.7,494.3,8.1,12.4,0.035,1.8,2,*0.01,-,-,-,-,-,-,-,-,*0.010,0.029,-,*0.001,0.13,0.09,*0.001,*0.000,1.13,29.63,-,-,2.71,0.57,67.37,20.93,1.19,138.04,39.98,-16.9,-122,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6/11/2018,ANFT 4,NOAT,HEAT,67.52215,-162.06027,9.3,450.3,8.1,,0.047,3,1.6,*0.04,-,-,-,-,-,-,-,-,*0.009,0.028,-,0.003,0.13,0.08,0.003,*0.001,1.29,18.8,-,-,1.94,0.57,51.84,16.16,1.02,55.86,34.31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9/5/2018,ANFT 4,NOAT,HEAT,67.52215,-162.06027,8.2,710.7,8.1,11.4,0.023,1.5,1.5,*0.06,-,-,-,-,-,-,-,-,*0.009,0.027,-,0.004,0.15,0.09,0.009,0.004,1.66,37.04,-,-,3.86,0.77,79.22,24.47,0.92,142.93,44.87,-17.1,-123,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6/7/2019,ANFT 4,NOAT,HEAT,67.52215,-162.06027,12,379,8.3,10.4,0.048,2.6,1.8,*0.03,,,,,,,,,*0.007,0.035,-,*0.001,0.15,0.11,*0.002,0.003,1.08,22.24,-,-,2.08,0.62,53.59,16.34,1.29,93.23,-,-16.9,-126,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
 8/18/2019,ANFT 4,NOAT,HEAT,67.52215,-162.06027,9.6,512,8.13,11.2,0.053,2.5,2.1,-,,,,,,,,,*0.006,0.064,-,*0.000,0.14,0.17,*0.001,*0.002,1.51,50.5,0.046,-,2.56,0.61,85.99,27.06,1.64,123.58,38.23,-16.5,-120,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9/16/2013,Anisak River,NOAT,ARCN,68.054191,-158.940206,3.1,369,-,-,0.053,2.3,2.2,< 0.02,-,2.8,51%,2%,1.8,15%,2.4,19%,*0.003,0.047,-,*0.000,0.14,-,*0.001,-,0.26,42.09,0.03,*0.00,4.08,0.37,49.7,12.38,-,-,-,-18.7,-142.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6/11/2016,Anisak River,NOAT,ARCN,68.407,-159.0493,-,337.7,8.4,-,-,-,-,*0.00,-,-,-,-,-,-,-,-,*0.004,0.023,-,*0.000,0.06,0.04,*0.000,*0.000,0.19,41.28,-,-,3.63,0.31,44.87,10.17,0.58,36.85,15.97,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9/15/2013,Aniuk River,NOAT,ARCN,68.006924,-157.942587,4.7,232,7.85,-,0.079,2.9,2.7,0.04,2.6,3.4,51%,4%,-,16%,2,23%,*0.002,0.009,-,*0.000,0.12,-,*0.001,-,0.27,18.31,0.03,*0.00,2.54,0.31,19.77,14.32,-,-,-,-18.7,-141.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8/6/2014,April Creek,GAAR,ARCN,67.97904,-154.489,9.9,122.4,-,9.9,0.014,1,1.4,-,-,-,-,-,-,-,-,-,*0.003,0.032,-,*0.001,0.12,0.07,*0.000,*0.001,0.12,11.89,-,-,2.4,0.28,16.69,7.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6/12/2017,ART 1,KOVA,HEAT,67.4246,-158.02731,4.4,134.2,7.04,13.1,0.04,1.4,2.9,*0.05,-,-,-,-,-,-,-,-,*0.002,0.364,-,0.002,0.41,0.42,*0.000,*0.000,0.29,4.38,-,-,0.31,0.11,11.9,1.82,1,22.17,5.16,-18.3,-133,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8/22/2017,ART 1,KOVA,HEAT,67.4246,-158.02731,4.6,111.5,8,13.2,0.014,0.8,1.8,*0.01,-,-,-,-,-,-,-,-,*0.006,0.338,-,0.002,0.38,0.39,*0.002,0.003,0.27,7.91,-,-,0.5,0.09,14.21,3.1,0.48,24.58,6.75,-18,-132,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6/13/2018,ART 1,KOVA,HEAT,67.4246,-158.02731,2.7,195.7,7.5,13.2,0.009,0.7,1.3,0.1,-,-,-,-,-,-,-,-,*0.008,0.469,-,*0.001,0.52,0.48,*0.000,*0.002,0.45,10.07,-,-,0.35,0.12,12.58,3.63,0.37,15.24,3.31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8/30/2018,ART 1,KOVA,HEAT,67.4246,-158.02731,5.3,248.2,7,12.2,0.017,0.6,3,0.5,-,-,-,-,-,-,-,-,0.014,0.245,-,*0.001,0.26,0.24,*0.001,0.003,0.3,18.08,-,-,0.38,0.13,16.15,5.55,0.41,8.42,1.95,-18.4,-132,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6/4/2019,ART 1,KOVA,HEAT,67.4246,-158.02731,2.4,97,7.6,12.6,0.013,1.9,0.7,*0.05,,,,,,,,,*0.005,0.552,-,*0.001,0.67,0.64,*0.000,0.005,0.42,9.06,-,-,0.34,0.14,11.42,3.23,0.49,13.92,-,-18.5,-138,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
 8/22/2019,ART 1,KOVA,HEAT,67.4246,-158.02731,5.2,178.4,6.74,12.4,0.017,0.7,2.5,-,,,,,,,,,0.013,0.39,-,*0.000,0.43,0.38,*0.000,*0.000,0.28,27.38,0.1,-,0.43,0.11,20.27,9.27,0.32,4.94,1.16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6/11/2017,ART 2,KOVA,HEAT,67.356,-158.18379,4.3,158.9,7.21,13.1,0.062,2,3,*0.04,-,-,-,-,-,-,-,-,*0.002,0.377,-,*0.001,0.44,0.46,*0.001,*0.000,0.37,7.15,-,-,0.43,0.12,12.27,2.75,1.71,18.31,-,-17.8,-131,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8/22/2017,ART 2,KOVA,HEAT,67.356,-158.18379,3.8,133,7.8,13.4,0.027,1.3,2.1,0.08,-,-,-,-,-,-,-,-,*0.006,0.428,-,0.002,0.5,0.44,*0.001,*0.000,0.28,10.78,-,-,0.83,0.07,17.44,3.74,0.95,26.63,6.27,-18,-131,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6/13/2018,ART 2,KOVA,HEAT,67.356,-158.18379,3.9,227.7,8,12.8,0.016,0.8,1.9,*0.04,-,-,-,-,-,-,-,-,*0.004,0.471,-,*0.001,0.53,0.51,*0.000,*0.000,0.5,11.2,-,-,0.56,0.13,16.61,4.53,0.56,23.71,5.49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8/30/2018,ART 2,KOVA,HEAT,67.356,-158.18379,4.9,340.5,7.7,12.4,0.019,1,1.9,*0.04,-,-,-,-,-,-,-,-,*0.005,0.481,-,0.002,0.53,0.54,*0.000,*0.002,0.39,22.07,-,-,0.68,0.14,24.95,7.25,0.89,25.27,5.53,-18,-132,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6/4/2019,ART 2,KOVA,HEAT,67.356,-158.18379,4.6,126,7.8,12.3,0.021,1.7,1.3,*0.04,,,,,,,,,*0.004,0.543,-,*0.000,0.63,0.65,*0.000,0.005,0.39,11.91,-,-,0.52,0.13,15.36,4.55,0.75,19.78,-,-18.4,-138,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
 8/22/2019,ART 2,KOVA,HEAT,67.356,-158.18379,6.3,181.4,7.52,12.1,0.017,1,1.6,-,,,,,,,,,*0.004,0.563,-,0.002,0.64,0.64,*0.000,*0.000,0.35,22.15,0.039,-,0.73,0.13,25.83,7.8,0.71,26.27,6.32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6/12/2017,ART 3,KOVA,HEAT,67.24428,-158.435,10,108.3,6.84,10.2,0.436,9.7,4.5,1.47,-,-,-,-,-,-,-,-,0.133,0.131,-,0.004,0.55,0.66,0.017,0.058,0.33,2.65,-,-,0.92,0.18,9.65,2.97,8.21,27.46,7.07,-17.3,-131,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8/23/2017,ART 3,KOVA,HEAT,67.24428,-158.435,8,71.1,7.5,11.4,0.666,15.7,4.2,0.17,-,-,-,-,-,-,-,-,*0.007,0.106,-,*0.001,0.38,0.49,0.003,0.025,0.22,2.34,-,-,0.79,0.1,8.72,2.8,12.76,24.78,6.29,-17.4,-127,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6/13/2018,ART 3,KOVA,HEAT,67.23676,-158.30624,8.2,191.3,8.2,11.6,0.072,2.1,3.4,0.19,-,-,-,-,-,-,-,-,*0.010,0.251,-,*0.001,0.29,0.29,*0.002,0.01,0.42,3.84,-,-,1.39,0.15,15.89,6.19,1.54,55.25,13.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8/30/2018,ART 3,KOVA,HEAT,67.23676,-158.30624,7.9,188.1,8,11.2,0.422,9.8,4.3,*0.05,-,-,-,-,-,-,-,-,0.016,0.175,-,0.005,0.45,0.41,*0.002,0.014,0.46,2.48,-,-,1.07,0.18,14.86,6,8.37,56.85,13.31,-18.4,-134,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6/4/2019,ART 3,KOVA,HEAT,67.23676,-158.30624,10.8,112,7.5,10.7,0.116,3.9,2.9,0.23,,,,,,,,,*0.009,0.332,-,0.003,0.47,-,0.004,-,0.44,3.44,-,-,1.31,0.2,13.34,5.2,-,-,-,-17.9,-136,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
 8/20/2019,ART 3,KOVA,HEAT,67.23676,-158.30624,10.7,124.7,7.52,11.1,0.246,6.2,4,-,,,,,,,,,*0.010,0.211,-,0.003,0.38,0.36,0.004,0.006,0.43,3.31,0.026,-,1.24,0.16,17.63,7.13,4.79,127.89,15.14,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
